bowler,runs_conceded,overs,economy
MJ McClenaghan,1839,213.83333333333334,8.600155884645362
MJ Santner,428,61.166666666666664,6.997275204359673
MM Ali,900,126.5,7.1146245059288535
MM Patel,1733,227.66666666666666,7.612005856515374
MM Sharma,3278,376.6666666666667,8.702654867256637
MN Samuels,285,35.666666666666664,7.990654205607477
MP Stoinis,1300,134.0,9.701492537313433
MR Marsh,803,93.83333333333333,8.557726465364121
MS Gony,1317,148.83333333333334,8.848824188129898
Mayank Dagar,205,22.833333333333332,8.978102189781023
Mohammad Asif,307,32.166666666666664,9.544041450777202
Mohammad Nabi,527,69.5,7.58273381294964
Mohammed Shami,3486,407.0,8.565110565110565
Mohammed Siraj,2894,327.6666666666667,8.832146490335706
Mohsin Khan,698,81.0,8.617283950617283
Mujeeb Ur Rahman,598,72.33333333333333,8.267281105990785
Mukesh Choudhary,452,46.666666666666664,9.685714285714287
Mukesh Kumar,707,67.16666666666667,10.52605459057072
Mustafizur Rahman,1792,217.66666666666666,8.232771822358346
N Rana,253,30.0,8.433333333333334
N Thushara,259,26.333333333333332,9.835443037974684
NLTC Perera,1031,116.83333333333333,8.82453637660485
NM Coulter-Nile,1125,144.33333333333334,7.794457274826789
NT Ellis,514,59.5,8.638655462184873
Navdeep Saini,968,110.16666666666667,8.786686838124053
Naveen-ul-Haq,602,65.33333333333333,9.214285714285715
Noor Ahmad,672,82.16666666666667,8.178498985801216
OC McCoy,255,27.166666666666668,9.386503067484663
P Amarnath,241,22.0,10.954545454545455
P Awana,1046,125.16666666666667,8.356857523302264
P Kumar,3342,420.8333333333333,7.941386138613861
P Negi,954,119.33333333333333,7.994413407821229
P Parameswaran,226,25.833333333333332,8.748387096774193
PC Valthaty,207,25.166666666666668,8.225165562913906
PJ Cummins,1976,220.0,8.981818181818182
PJ Sangwan,1267,143.66666666666666,8.819025522041764
PP Chawla,5179,642.0,8.066978193146417
PP Ojha,2399,316.8333333333333,7.571804313519201
PV Tambe,866,110.0,7.872727272727273
PVD Chameera,442,47.333333333333336,9.338028169014084
PWH de Silva,758,92.0,8.23913043478261
Pankaj Singh,472,50.166666666666664,9.408637873754154
Parvez Rasool,273,33.0,8.272727272727273
R Ashwin,5435,754.6666666666666,7.201855123674912
R Bhatia,2059,273.0,7.542124542124542
R Dhawan,922,110.83333333333333,8.318796992481204
R McLaren,558,59.5,9.378151260504202
R Parag,307,29.166666666666668,10.525714285714285
R Rampaul,319,45.0,7.088888888888889
R Sai Kishore,259,31.0,8.35483870967742
R Sathish,233,23.166666666666668,10.057553956834532
R Sharma,1100,154.66666666666666,7.112068965517242
R Shepherd,260,21.0,12.380952380952381
R Shukla,217,20.5,10.585365853658537
R Tewatia,1117,140.83333333333334,7.931360946745562
R Vinay Kumar,3041,356.3333333333333,8.534144059869037
RA Jadeja,4917,639.0,7.694835680751174
RD Chahar,2165,277.5,7.801801801801802
RE van der Merwe,515,73.83333333333333,6.975169300225734
RG Sharma,462,56.5,8.176991150442477
RJ Harris,1085,138.83333333333334,7.815126050420168
RP Meredith,621,65.0,9.553846153846154
RP Singh,2417,298.0,8.110738255033556
RR Powar,538,71.16666666666667,7.559718969555035
RR Raje,214,23.333333333333332,9.171428571428573
RS Bopara,301,34.333333333333336,8.766990291262136
Rashid Khan,3340,478.6666666666667,6.977715877437325
Rasikh Salam,341,32.833333333333336,10.385786802030456
Ravi Bishnoi,1861,236.0,7.885593220338983
S Aravind,1057,126.83333333333333,8.33377135348226
S Badree,329,43.0,7.651162790697675
S Gopal,1358,165.33333333333334,8.213709677419354
S Kaul,1772,202.5,8.750617283950618
S Kaushik,304,34.166666666666664,8.897560975609757
S Ladda,225,23.166666666666668,9.712230215827338
S Lamichhane,297,35.0,8.485714285714286
S Nadeem,1800,236.5,7.6109936575052854
S Randiv,223,29.0,7.689655172413793
S Sandeep Warrier,257,28.333333333333332,9.070588235294117
S Sreesanth,1221,150.5,8.112956810631228
S Tyagi,304,35.333333333333336,8.60377358490566
SB Bangar,221,25.0,8.84
SB Jakati,1474,181.16666666666666,8.136154553817848
SB Styris,278,36.0,7.722222222222222
SC Ganguly,370,46.166666666666664,8.014440433212997
SE Bond,225,31.0,7.258064516129032
SJ Srivastava,444,47.166666666666664,9.413427561837457
SK Raina,1139,151.33333333333334,7.526431718061674
SK Trivedi,1944,252.5,7.699009900990099
SK Warne,1465,199.0,7.36180904522613
SL Malinga,3486,474.3333333333333,7.34926212227688
SM Curran,1924,198.0,9.717171717171718
SM Pollock,307,46.0,6.673913043478261
SMSM Senanayake,211,32.0,6.59375
SN Thakur,2908,312.6666666666667,9.300639658848613
SP Narine,4672,680.8333333333334,6.862178702570379
